order_id,line_number,product_id,qty,unit_price,line_discount_pct,tax_pct
715389,203,889,6,94.389,0.15,0.1151
402831,344,87,4,47.0394,0.2082,0.106
365858,471,105,6,198.223,0.2106,0.1248
852697,516,233,7,429.7027,0.1987,0.0583
303039,686,199,6,487.2104,0.0284,0.0817
742082,803,77,3,111.4665,0.1139,0.0575
726662,832,21,8,202.2596,0.1691,0.1396
239987,873,154,7,393.2724,0.1991,0.1116
184185,938,232,9,357.1428,0.1443,0.0646
275446,1114,133,3,226.129,0.1149,0.1281
736251,1215,150,10,9.1992,0.1759,0.1067
166838,1253,182,4,327.2132,0.0924,0.08
98314,1256,177,2,177.0343,0.1717,0.1291
106779,1590,155,9,326.4169,0.1837,0.1042
211869,1601,163,5,365.4207,0.1532,0.0676
427350,1626,103,4,263.2321,0.082,0.1038
529128,1819,41,7,447.3804,0.0968,0.0784
813230,1956,50,2,318.7618,0.136,0.1235
770165,1990,230,10,335.0881,0.0949,0.1229
597784,2198,232,8,341.9867,0.1226,0.0682
349269,2261,220,3,285.1892,0.2274,0.091
515545,2362,52,8,296.4592,0.0106,0.1366
950707,2498,36,5,107.5267,0.0481,0.1409
781981,2722,55,10,116.229,0.204,0.1039
636359,2729,62,2,390.753,0.0442,0.101
403358,2773,205,3,347.7969,0.0148,0.1499
49606,2851,132,4,273.6887,0.2166,0.126
358550,2991,61,7,36.4312,0.1246,0.0664
43142,3172,229,10,285.8388,0.131,0.0681
722475,3237,243,10,172.5524,0.0158,0.0521
580812,3461,84,6,120.0651,0.0235,0.0607
935981,3469,84,1,181.4519,0.2083,0.1478
174219,3701,23,1,442.5626,0.2194,0.063
91117,3807,73,6,369.482,0.0673,0.0584
986920,3906,132,1,489.42,0.0281,0.0966
359493,4012,165,4,276.8165,0.2324,0.0715
653469,4021,248,3,434.291,0.2202,0.09
570910,4029,39,5,23.0687,0.2118,0.0623
886972,4131,63,7,135.4823,0.0705,0.072
882670,4193,249,10,151.0645,0.1335,0.0758
563173,4430,74,10,54.544,0.1085,0.1378
870032,4589,91,1,301.6375,0.0707,0.1211
816695,4638,216,5,115.8641,0.1753,0.0546
349959,4651,123,8,191.3663,0.0334,0.0984
748008,4753,136,8,358.0992,0.1854,0.099
363621,4809,110,7,285.349,0.2021,0.1154
371804,4831,182,1,166.5294,0.1238,0.1195
774519,4836,154,6,362.1997,0.0847,0.1149
22639,5107,171,5,118.4808,0.0665,0.1492
570017,5128,6,6,132.474,0.1776,0.1257
685949,5235,82,1,75.9147,0.067,0.1498
571909,5236,118,7,353.046,0.106,0.142
28441,5281,35,2,477.2412,0.1889,0.0553
151763,5450,84,1,376.3906,0.0154,0.1034
322418,5683,175,8,442.2038,0.0808,0.0706
541922,5764,43,1,56.4073,0.0742,0.0605
510073,5769,234,8,94.9019,0.0654,0.1161
427002,6070,80,7,16.5803,0.2451,0.1475
766336,6091,224,6,430.2491,0.1152,0.1038
190051,6122,34,8,28.4173,0.1546,0.0911
540486,6139,218,1,159.5014,0.1564,0.1172
377928,6211,70,4,478.0676,0.1878,0.1292
290666,6394,121,5,72.7703,0.1674,0.1409
304606,6470,40,10,105.0387,0.2029,0.106
435222,6714,117,1,451.4499,0.1261,0.123
853566,6794,114,10,78.5749,0.2389,0.1425
195122,6797,233,7,97.1237,0.0964,0.118
528739,6874,233,4,22.3162,0.09,0.0997
340584,6974,46,9,140.4894,0.1997,0.0613
420012,7056,72,6,159.7801,0.1186,0.0602
368645,7245,229,9,474.383,0.1421,0.0957
483654,7300,53,9,66.4831,0.0616,0.1024
41590,7432,123,9,143.9068,0.0355,0.1424
346698,7522,90,10,146.378,0.2103,0.0978
54621,7530,195,9,316.868,0.1003,0.1409
698411,7970,72,10,190.2681,0.2415,0.108
