order_id,order_ts,order_dt_local,customer_id,store_id,channel,payment_method,coupon_code,shipping_fee,currency
42,2024-02-28T17:43:07,2024-02-28,859,88,Online,Afterpay,COUPON-90Z,1.8,AUD
98,2024-02-28T06:54:33,2024-02-28,817,72,Online,PayPal,COUPON-AAZ,2.69,AUD
137,2024-02-28T12:20:48,2024-02-28,890,124,Retail,Afterpay,COUPON900-,10.7,AUD
252,2024-02-28T01:01:32,2024-02-28,821,120,Online,Afterpay,COUPONA090,8.44,AUD
256,2024-02-28T04:13:32,2024-02-28,868,147,Retail,Afterpay,COUPON-ZA-,4.6,AUD
259,2024-02-28T09:40:49,2024-02-28,826,53,Online,Afterpay,COUPONA--A,19.36,AUD
287,2024-02-28T08:42:41,2024-02-28,876,65,Online,Afterpay,COUPON----,0.1,AUD
289,2024-02-28T21:11:20,2024-02-28,887,119,Retail,Afterpay,COUPON-99A,14.54,AUD
622,2024-02-28T18:09:51,2024-02-28,824,92,Online,Credit Card,COUPON-99-,10.63,AUD
1076,2024-02-28T15:45:04,2024-02-28,888,146,Retail,Credit Card,COUPON---9,2.6,AUD
1089,2024-02-28T08:39:41,2024-02-28,841,139,Online,Afterpay,COUPON-A0Z,14.22,AUD
1125,2024-02-28T10:57:56,2024-02-28,877,135,Retail,Credit Card,COUPONZ--9,16.0,AUD
1155,2024-02-28T23:38:17,2024-02-28,805,88,Retail,Credit Card,COUPON0-A-,2.08,AUD
1402,2024-02-28T04:00:48,2024-02-28,837,108,Retail,Credit Card,COUPONA-Z-,19.33,AUD
1405,2024-02-28T05:03:18,2024-02-28,807,137,Online,Credit Card,COUPON09A-,8.1,AUD
1488,2024-02-28T20:47:51,2024-02-28,839,68,Retail,Credit Card,COUPON--99,14.42,AUD
1612,2024-02-28T15:44:50,2024-02-28,887,133,Retail,Afterpay,COUPON-Z-A,11.83,AUD
1736,2024-02-28T17:29:08,2024-02-28,853,101,Online,Credit Card,COUPON--0-,14.44,AUD
2125,2024-02-28T02:16:01,2024-02-28,829,98,Online,PayPal,COUPON-ZAA,12.38,AUD
2212,2024-02-28T13:42:20,2024-02-28,802,62,Online,Afterpay,COUPONZ-Z9,6.66,AUD
2361,2024-02-28T00:00:55,2024-02-28,893,111,Retail,PayPal,COUPON9-9-,0.59,AUD
2403,2024-02-28T13:16:36,2024-02-28,858,126,Retail,Credit Card,COUPON9-09,17.73,AUD
2445,2024-02-28T04:52:55,2024-02-28,880,135,Online,Credit Card,COUPONZ-9-,16.64,AUD
2500,2024-02-28T21:07:04,2024-02-28,847,78,Online,PayPal,COUPON-A-Z,1.38,AUD
2526,2024-02-28T01:27:36,2024-02-28,886,86,Retail,Afterpay,COUPONAZZA,19.36,AUD
2529,2024-02-28T17:15:45,2024-02-28,807,138,Online,Credit Card,COUPON0A--,1.3,AUD
