order_id,order_ts,order_dt_local,customer_id,store_id,channel,payment_method,coupon_code,shipping_fee,currency
9,2024-03-09T00:50:40,2024-03-09,851,101,Online,PayPal,COUPONZAAA,17.32,AUD
292,2024-03-09T16:43:31,2024-03-09,880,88,Retail,PayPal,COUPON0A-9,2.73,AUD
539,2024-03-09T05:08:52,2024-03-09,853,114,Retail,Credit Card,COUPON09AZ,3.04,AUD
581,2024-03-09T13:21:06,2024-03-09,847,94,Retail,Afterpay,COUPON99-Z,0.35,AUD
838,2024-03-09T15:04:04,2024-03-09,881,133,Online,Credit Card,COUPONZ0-0,5.69,AUD
1007,2024-03-09T06:00:31,2024-03-09,861,121,Online,PayPal,COUPON9-Z0,15.25,AUD
1032,2024-03-09T13:32:22,2024-03-09,851,124,Retail,Credit Card,COUPON--A0,3.73,AUD
1138,2024-03-09T13:44:48,2024-03-09,858,50,Retail,Afterpay,COUPON-AZ0,10.74,AUD
1158,2024-03-09T06:13:10,2024-03-09,830,87,Retail,Credit Card,COUPON9-9A,10.86,AUD
1160,2024-03-09T15:26:02,2024-03-09,856,55,Retail,PayPal,COUPONA--Z,9.48,AUD
1187,2024-03-09T20:53:23,2024-03-09,828,128,Retail,PayPal,COUPONAZ--,12.86,AUD
1254,2024-03-09T09:43:11,2024-03-09,878,136,Online,Afterpay,COUPON090A,19.96,AUD
1332,2024-03-09T14:58:47,2024-03-09,894,67,Retail,Afterpay,COUPONZZA-,0.14,AUD
1348,2024-03-09T09:44:57,2024-03-09,867,122,Online,Afterpay,COUPON9Z--,9.49,AUD
1636,2024-03-09T14:22:09,2024-03-09,854,93,Retail,Afterpay,COUPON00Z0,8.28,AUD
1825,2024-03-09T07:17:06,2024-03-09,881,86,Retail,Credit Card,COUPONAA90,15.09,AUD
1865,2024-03-09T22:03:26,2024-03-09,867,99,Retail,Credit Card,COUPON0Z99,3.1,AUD
2060,2024-03-09T04:20:47,2024-03-09,830,51,Retail,Credit Card,COUPONZ0-9,2.85,AUD
2249,2024-03-09T09:01:18,2024-03-09,871,100,Retail,Credit Card,COUPON--A0,18.14,AUD
2429,2024-03-09T15:02:13,2024-03-09,830,57,Online,Afterpay,COUPON0-9-,11.47,AUD
2688,2024-03-09T20:54:59,2024-03-09,827,110,Online,Afterpay,COUPON---A,13.99,AUD
2812,2024-03-09T14:10:17,2024-03-09,873,100,Online,Afterpay,COUPONZAZZ,2.79,AUD
2821,2024-03-09T01:43:02,2024-03-09,866,103,Online,Credit Card,COUPON9999,10.08,AUD
2891,2024-03-09T15:08:04,2024-03-09,848,109,Retail,PayPal,COUPON999Z,15.46,AUD
3129,2024-03-09T00:32:48,2024-03-09,827,101,Online,Credit Card,COUPONZZZ9,5.71,AUD
3281,2024-03-09T18:35:16,2024-03-09,838,59,Retail,PayPal,COUPONZ9Z0,14.44,AUD
3338,2024-03-09T00:56:06,2024-03-09,824,126,Retail,Credit Card,COUPONA00-,2.84,AUD
3365,2024-03-09T03:24:29,2024-03-09,800,113,Retail,Credit Card,COUPON090-,4.94,AUD
3475,2024-03-09T20:53:45,2024-03-09,808,81,Retail,Credit Card,COUPONAAZ-,16.25,AUD
3549,2024-03-09T22:21:39,2024-03-09,886,74,Online,Credit Card,COUPON9ZA0,4.06,AUD
3584,2024-03-09T07:53:14,2024-03-09,897,82,Retail,Credit Card,COUPON0AAZ,0.34,AUD
3676,2024-03-09T18:11:28,2024-03-09,888,98,Online,Credit Card,COUPONZ00A,18.36,AUD
3698,2024-03-09T09:10:49,2024-03-09,843,85,Online,PayPal,COUPON-09-,4.83,AUD
3714,2024-03-09T20:24:06,2024-03-09,897,67,Retail,PayPal,COUPON--Z-,8.3,AUD
3723,2024-03-09T07:05:17,2024-03-09,849,131,Online,Afterpay,COUPON-0-9,0.64,AUD
3762,2024-03-09T23:44:52,2024-03-09,886,98,Online,Afterpay,COUPON-0--,5.7,AUD
3913,2024-03-09T05:48:34,2024-03-09,853,84,Online,Credit Card,COUPONZZ-9,15.68,AUD
