product_id,sku,name,category,subcategory,current_price,currency,is_discontinued,introduced_dt,discontinued_dt
1,SKU---Z-9-,Vel,Home,Sub3,838.32,AUD,False,2017-01-30,
2,SKU-9A-Z0-,Eum,Electronics,Sub3,135.51,AUD,True,2021-12-19,2027-01-17
3,SKU--99900,Incidunt,Electronics,Sub1,248.08,AUD,True,2023-08-12,2026-12-07
4,SKU-Z---A-,Repellendus,Clothing,Sub1,53.58,AUD,False,2014-08-09,
5,SKU-9-A-9-,Doloremque,Home,Sub1,328.62,AUD,False,2016-03-13,
6,SKU-A9A9AA,Rerum,Clothing,Sub2,809.89,AUD,False,2011-11-08,
7,SKU-09-AZA,Repellat,Home,Sub2,319.72,AUD,False,2021-04-21,
8,SKU-ZA----,Delectus,Electronics,Sub2,770.31,AUD,False,2016-06-25,
9,SKU-A0-000,Pariatur,Home,Sub3,384.12,AUD,False,2011-12-28,
10,SKU--0-Z-0,Repellendus,Electronics,Sub2,516.57,AUD,False,2018-04-16,
11,SKU---A0Z9,Labore,Sports,Sub3,416.08,AUD,False,2022-07-10,
12,SKU--9--ZA,Quaerat,Electronics,Sub3,866.6,AUD,False,2021-11-09,
13,SKU-9-9Z9A,Alias,Electronics,Sub2,384.31,AUD,False,2021-11-07,
14,SKU--ZA-9-,Earum,Sports,Sub2,648.73,AUD,False,2016-11-24,
15,SKU-A--09-,Ab,Sports,Sub2,780.51,AUD,True,2010-12-01,2015-10-19
16,SKU--ZZZ09,Porro,Electronics,Sub2,686.35,AUD,False,2010-07-10,
17,SKU-Z0Z0-Z,Corrupti,Home,Sub2,560.53,AUD,False,2014-01-01,
18,SKU-9--90A,Fugit,Clothing,Sub2,298.46,AUD,False,2014-11-06,
19,SKU-ZZ9---,Dolorum,Electronics,Sub3,N/A,AUD,False,2012-10-10,
20,SKU--9-9A-,Assumenda,Electronics,Sub3,999.45,AUD,True,2019-02-14,2024-03-09
21,SKU-0A-ZA-,Perspiciatis,Electronics,Sub1,723.08,AUD,False,2010-03-10,
22,SKU-ZAAA--,Error,Home,Sub3,383.52,AUD,False,2021-02-26,
23,SKU-ZAA9-0,Neque,Electronics,Sub3,67.37,AUD,False,2011-08-04,
24,SKU-9-ZAZ-,Suscipit,Clothing,Sub1,36.11,AUD,False,2019-02-19,
25,SKU-----9-,Tempora,Home,Sub1,424.09,AUD,True,2010-10-26,2014-12-28
26,SKU-9-A0-Z,Exercitationem,Electronics,Sub1,434.38,AUD,False,2011-01-15,
27,SKU--0A-A9,Voluptates,Sports,Sub1,611.35,AUD,False,2010-08-12,
28,SKU--AZ909,Eligendi,Sports,Sub3,819.22,AUD,False,2014-02-11,
29,SKU-A0900-,Minima,Electronics,Sub3,963.5,AUD,False,2016-10-26,
30,SKU-Z0Z--0,Illo,Electronics,Sub1,648.68,AUD,False,2012-10-13,
31,SKU-ZA9099,Voluptatibus,Sports,Sub2,292.91,AUD,False,2010-05-10,
32,SKU---0--9,Nihil,Electronics,Sub3,645.33,AUD,False,2020-03-26,
33,SKU--ZZ--0,Adipisci,Clothing,Sub1,301.46,AUD,False,2016-12-11,
34,SKU--ZA---,Quis,Sports,Sub2,478.25,AUD,False,2012-08-22,
35,SKU--A-990,Id,Clothing,Sub3,665.92,AUD,False,2015-06-22,
36,SKU-ZAZA-0,Deserunt,Sports,Sub3,553.76,AUD,False,2013-04-21,
37,SKU-0-9-Z9,Temporibus,Electronics,Sub3,634.05,AUD,False,2014-11-10,
38,SKU-0-9A90,Mollitia,Home,Sub2,752.92,AUD,False,2014-04-23,
39,SKU----Z--,Illum,Sports,Sub3,10.97,AUD,False,2021-07-11,
40,SKU-0AA00A,Iusto,Electronics,Sub1,341.49,AUD,False,2010-07-28,
41,SKU---9ZA0,Tenetur,Clothing,Sub3,N/A,AUD,False,2021-09-14,
42,SKU-09-90A,Praesentium,Home,Sub2,896.76,AUD,False,2023-06-07,
43,SKU---9A90,Laudantium,Sports,Sub2,559.91,AUD,True,2021-01-14,2025-05-17
44,SKU---A9A-,Illo,Clothing,Sub1,0.0,AUD,False,2020-03-07,
45,SKU---Z-9Z,Vero,Electronics,Sub1,212.87,AUD,False,2013-09-07,
46,SKU--A-A-0,Quas,Clothing,Sub1,577.7,AUD,False,2012-09-20,
47,SKU-A-Z0Z9,Cupiditate,Home,Sub3,329.79,AUD,False,2018-11-15,
48,SKU-AZ0AZA,Recusandae,Sports,Sub3,404.38,AUD,False,2013-03-07,
49,SKU----A90,Asperiores,Clothing,Sub3,201.45,AUD,False,2019-06-02,
50,SKU-9-9Z09,Atque,Clothing,Sub3,543.97,AUD,False,2021-07-23,
51,SKU--0Z9AZ,In,Electronics,Sub2,927.83,AUD,False,2020-09-23,
52,SKU---A-00,Modi,Home,Sub3,0.0,AUD,False,2017-11-01,
53,SKU-9AZ90-,Expedita,Clothing,Sub2,158.84,AUD,True,2013-11-28,2014-08-03
54,SKU--0-0-A,Repudiandae,Clothing,Sub1,546.44,AUD,False,2010-05-13,
55,SKU-A9A-9Z,Excepturi,Home,Sub3,298.95,AUD,False,2023-08-02,
56,SKU-99-A--,Rerum,Home,Sub1,753.66,AUD,True,2019-11-25,2020-09-07
57,SKU-00-00-,Iure,Sports,Sub2,782.45,AUD,False,2011-06-05,
58,SKU---00--,Beatae,Clothing,Sub2,162.38,AUD,False,2017-03-07,
59,SKU-A99-9Z,Culpa,Electronics,Sub3,794.48,AUD,False,2016-01-16,
60,SKU-00-Z9Z,Molestias,Home,Sub2,900.77,AUD,False,2017-09-07,
61,SKU-Z--0-0,Aliquam,Home,Sub2,254.16,AUD,False,2021-12-12,
62,SKU-ZA----,Debitis,Clothing,Sub2,763.88,AUD,False,2020-11-03,
63,SKU-00----,Odio,Sports,Sub2,861.85,AUD,False,2012-05-20,
64,SKU-ZAZ9-0,Nostrum,Clothing,Sub1,775.27,AUD,False,2015-11-14,
65,SKU-9Z--9A,Similique,Clothing,Sub2,173.17,AUD,False,2017-06-25,
66,SKU--ZA0ZA,Esse,Home,Sub3,334.49,AUD,False,2013-11-22,
67,SKU-0-A-90,Totam,Electronics,Sub2,N/A,AUD,False,2013-05-11,
68,SKU--AZA00,Necessitatibus,Electronics,Sub2,609.02,AUD,False,2020-09-20,
69,SKU---Z---,Distinctio,Electronics,Sub2,913.76,AUD,False,2019-05-02,
70,SKU--0--00,Minus,Home,Sub3,515.11,AUD,False,2016-04-09,
71,SKU---Z90Z,Expedita,Electronics,Sub1,814.29,AUD,False,2017-06-15,
72,SKU--AAZAZ,Eos,Home,Sub2,878.6,AUD,False,2012-08-06,
73,SKU-0ZA-ZA,Porro,Home,Sub3,190.33,AUD,False,2016-10-20,
74,SKU-0---0-,Officiis,Sports,Sub1,899.88,AUD,False,2016-07-25,
75,SKU-Z9--A9,Pariatur,Electronics,Sub3,78.9,AUD,False,2013-11-17,
76,SKU----A--,Deserunt,Clothing,Sub2,0.0,AUD,False,2021-08-27,
77,SKU-0-9Z--,Exercitationem,Clothing,Sub1,409.99,AUD,False,2020-03-24,
78,SKU-ZZ09Z0,At,Clothing,Sub3,864.11,AUD,False,2017-04-19,
79,SKU-9A9-00,Repellat,Electronics,Sub3,553.88,AUD,False,2019-11-10,
80,SKU-90A-0-,Reprehenderit,Clothing,Sub3,926.83,AUD,False,2013-11-14,
81,SKU---0-9-,Occaecati,Clothing,Sub2,243.91,AUD,False,2015-04-22,
82,SKU-9---9Z,Sed,Clothing,Sub1,727.54,AUD,False,2021-01-22,
83,SKU-Z0-AZ-,Doloribus,Sports,Sub1,452.36,AUD,False,2023-01-22,
84,SKU--0A---,Nemo,Sports,Sub3,911.56,AUD,False,2014-10-22,
85,SKU----Z--,Iure,Clothing,Sub1,370.66,AUD,False,2011-03-21,
86,SKU-ZAA0--,Mollitia,Home,Sub1,724.82,AUD,False,2021-07-15,
87,SKU-0AA--9,Aliquid,Home,Sub1,648.95,AUD,False,2022-11-14,
88,SKU-AZ-90-,Sit,Electronics,Sub1,732.47,AUD,False,2017-10-23,
89,SKU-9Z0Z-9,Eos,Clothing,Sub3,580.78,AUD,False,2011-11-09,
90,SKU--AA0--,Praesentium,Sports,Sub2,165.83,AUD,False,2020-04-29,
91,SKU-A-A-99,Nesciunt,Electronics,Sub2,138.21,AUD,False,2012-09-17,
92,SKU---Z999,Repellendus,Clothing,Sub3,0.0,AUD,False,2017-07-26,
93,SKU-990A9-,Voluptas,Sports,Sub3,99.2,AUD,True,2022-07-11,2026-08-17
94,SKU--A9--Z,Iure,Home,Sub2,26.94,AUD,False,2014-05-06,
95,SKU-999A09,Inventore,Electronics,Sub1,778.6,AUD,False,2020-03-05,
96,SKU-ZZ-Z0-,Animi,Electronics,Sub1,36.77,AUD,False,2013-07-03,
97,SKU-0Z0-AA,Quae,Electronics,Sub2,174.69,AUD,False,2019-12-09,
98,SKU-0--0A-,Est,Clothing,Sub3,865.41,AUD,False,2010-03-04,
99,SKU-A-ZAA9,Id,Home,Sub3,770.73,AUD,False,2019-06-29,
100,SKU-Z9A-Z0,Vero,Sports,Sub2,843.16,AUD,False,2015-08-20,
101,SKU-AA-AAA,Consectetur,Electronics,Sub2,739.32,AUD,False,2015-02-26,
102,SKU-Z0A00-,Neque,Electronics,Sub3,673.49,AUD,False,2013-04-28,
103,SKU-A9AA0Z,At,Electronics,Sub1,63.34,AUD,False,2017-06-13,
104,SKU-0-ZZZZ,Repellat,Home,Sub2,N/A,AUD,False,2021-12-04,
105,SKU-Z-0090,Maiores,Sports,Sub1,999.76,AUD,False,2014-06-30,
