sensor_ts,store_id,shelf_id,temperature_c,humidity_pct,battery_mv
2025-04-01T17:04:47,31,SHELF-90-0,21.4,-4.34,3162
2025-04-01T15:46:58,31,SHELF-AA-Z,25.01,71.25,3895
2025-04-01T15:29:26,31,SHELF-9--0,0.04,33.69,3851
2025-04-01T18:45:58,31,SHELF-ZZ-Z,31.23,26.18,3688
2025-04-01T22:19:28,31,SHELF---AA,23.35,36.77,3624
2025-04-01T16:50:29,31,SHELF-90--,27.62,47.0,3337
2025-04-01T13:08:44,31,SHELF-0-AA,4.98,21.27,3483
2025-04-01T10:05:38,31,SHELF--AA0,6.31,57.79,3017
2025-04-01T23:24:23,31,SHELF-9-00,6.53,39.41,3163
2025-04-01T01:32:46,31,SHELF---AA,12.38,24.93,3178
2025-04-01T21:45:49,31,SHELF--A0-,35.18,63.54,3838
2025-04-01T11:11:43,31,SHELF-90-0,16.16,28.04,3795
2025-04-01T10:59:16,31,SHELF-Z-00,33.19,75.67,3529
2025-04-01T18:19:13,31,SHELF-A-9-,28.54,34.54,3450
2025-04-01T19:45:57,31,SHELF--909,7.44,41.94,3715
2025-04-01T21:13:33,31,SHELF-Z-00,36.36,60.7,3750
2025-04-01T20:33:37,31,SHELF--ZZ-,6.72,62.44,3244
2025-04-01T21:34:38,31,SHELF-Z-0A,4.87,76.48,4097
2025-04-01T05:53:48,31,SHELF--A0-,24.15,21.66,3210
2025-04-01T23:23:57,31,SHELF-ZZ-Z,9.75,27.87,3538
2025-04-01T22:16:48,31,SHELF-9-0Z,7.25,73.33,3744
