store_id,store_code,name,channel,region,state,latitude,longitude,open_dt,close_dt
1,STORE-ZA99-,Beard PLC,Retail,North,NT,-37.533668,129.526167,11/11/2006,
2,STORE-Z-ZA-,Martin-Davidson,Online,West,NSW,-37.904980,127.633738,07/02/2002,
3,STORE--9---,Carrillo  Ruiz and Torres,Online,South,TAS,-39.987273,120.621050,01/06/2000,
4,STORE-ZA99-,Beard PLC,Retail,North,NT,-37.533668,129.526167,11/11/2006,
5,STORE-9A090,Wallace PLC,Retail,South,SA,-36.240943,125.894938,24/06/2000,
6,STORE-ZZ9A-,Hayes-King,Online,East,TAS,-41.416849,121.399512,09/05/2010,
7,STORE-AZ---,Harper  Parker and Collins,Retail,North,TAS,-42.365934,123.706963,28/01/2004,
8,STORE--Z099,Hernandez  Ward and Shah,Online,East,QLD,-37.777014,149.428608,28/05/2014,
9,STORE-Z--9-,West-Hoffman,Retail,West,VIC,-43.359110,135.951888,27/08/2006,
10,STORE-9-Z-Z,Griffith-Wright,Online,North,ACT,-43.236909,117.199629,01/06/2008,
11,STORE--09-A,Wyatt Inc,Online,South,QLD,-999.000000,113.442147,26/04/2003,
12,STORE--Z9--,Garcia  White and Martinez,Retail,South,WA,-42.578950,127.512417,27/11/2004,
13,STORE-AZ0--,Collins Ltd,Retail,South,SA,-37.149008,147.162803,07/11/2016,
14,STORE-9A9-9,Peterson PLC,Retail,North,SA,-43.814783,132.742597,19/07/2013,
15,STORE---AAZ,Dawson-Morris,Retail,South,NSW,-41.426213,119.266373,01/07/2008,
16,STORE---09Z,Le  Jacobs and Porter,Online,West,QLD,-34.879515,112.701475,08/04/2021,
17,STORE-A-A--,Aguilar Group,Retail,South,TAS,-42.483652,142.298034,01/04/2005,23/09/2014
18,STORE-0999-,Sanchez LLC,Retail,North,NT,-37.367547,113.082714,26/01/2008,18/10/2016
19,STORE--9A-9,Martin-Williams,Online,East,NSW,-42.481600,118.915831,16/01/2007,11/03/2009
20,STORE--A99Z,Clarke-Wilson,Retail,East,WA,-35.063705,135.313965,13/01/2024,
21,STORE-ZZ0-A,Cox  Lawrence and Austin,Retail,West,ACT,-37.617191,145.276332,16/07/2022,
22,STORE-099ZZ,Long  Sanchez and Wiley,Online,South,QLD,-37.894850,129.444749,06/10/2009,
23,STORE-9AAZ-,Prince-Green,Online,North,WA,-41.185955,132.443196,10/11/2023,
24,STORE-0-0--,Graham  Woods and Cochran,Retail,West,SA,-36.646441,999.000000,20/03/2007,
25,STORE-99-99,Schmidt  Brewer and Hill,Online,East,VIC,-42.066082,146.918727,27/10/2008,
26,STORE-Z--Z-,Alvarez-Kelley,Online,West,QLD,-37.400152,136.458588,30/09/2018,
27,STORE-0-900,Benton Group,Retail,West,TAS,-36.103962,120.579606,02/07/2022,
28,STORE-Z-A9A,Gibson PLC,Online,South,NSW,-40.952972,112.032819,27/05/2020,
29,STORE-----9,Tyler-Becker,Retail,North,SA,-37.999134,133.134199,02/09/2015,
30,STORE-900A0,Benson Ltd,Online,South,TAS,-35.436994,121.894491,29/06/2007,02/11/2019
31,STORE--00A0,Hicks-Price,Online,South,SA,-41.010914,119.127803,02/12/2023,
32,STORE-0-9Z0,Mcdonald  Hughes and Perry,Online,East,ACT,-40.919521,134.620176,23/03/2004,
33,STORE-9Z90-,Walters  Allen and Pacheco,Retail,West,VIC,-39.549482,117.708775,14/02/2006,
34,STORE-A0Z--,Gonzalez and Sons,Retail,West,TAS,-41.450899,136.712277,06/07/2020,
35,STORE--Z---,Anderson Ltd,Online,West,WA,-37.700863,141.323045,17/12/2012,
36,STORE--ZZ-A,Aguilar-Johnson,Online,South,TAS,-40.733330,145.427771,02/02/2023,
37,STORE-A000Z,Roberts  Jenkins and Gibson,Online,North,TAS,-38.799165,112.021791,19/02/2012,
38,STORE-0-A-Z,Dudley  Carlson and Tran,Retail,South,SA,-36.797962,128.131882,13/02/2002,04/06/2003
39,STORE-0-0--,Graham  Woods and Cochran,Retail,West,SA,-36.646441,999.000000,20/03/2007,
40,STORE-A--Z-,Mills  Vazquez and Harris,Retail,South,TAS,-36.789866,999.000000,28/04/2002,
41,STORE-A99AA,Long-Green,Online,West,NT,-40.969839,117.261068,18/02/2002,
42,STORE-09-Z0,Vance  Ray and Chapman,Retail,West,VIC,-42.831708,136.451273,12/12/2016,
43,STORE----0A,Mueller-Morris,Retail,West,WA,-41.051048,122.344792,31/08/2009,
44,STORE-Z9Z-Z,Edwards  Young and Brock,Retail,North,TAS,-35.822188,124.501593,20/08/2014,
45,STORE-Z-9ZZ,Walters-Jones,Online,West,SA,-37.415880,149.220731,24/02/2000,
46,STORE-9900-,Garcia Group,Retail,South,WA,-40.787711,119.237786,18/07/2015,
47,STORE-A-9ZZ,Kent LLC,Online,East,WA,-43.334399,114.089017,11/12/2021,
48,STORE-ZZA00,Martinez  Gonzalez and Williams,Retail,North,ACT,-39.616396,141.733996,20/08/2009,
49,STORE-ZA0-Z,Norman  Allen and Perez,Online,South,SA,-43.633530,132.421804,24/12/2012,
